Full Name,UB MAIL,CURRENT DEGREE,SKILLS,WORK EXPERIENCE,PROJECTS,GENDER,GPA,JOINING
Phillip Washington,xreed@example.com,UNDER GRAD,BACKEND,6,6,FEMALE,3.98,INTERESTED TO JOIN
Alison Shaffer,fostermadison@example.org,MASTERS,APP DEV,3,4,MALE,3.44,INTERESTED TO JOIN
Michael Wilson,kevin38@example.org,MASTERS,BACKEND,6,5,FEMALE,3.35,INTERESTED TO JOIN
William Jenkins,acostadavid@example.org,UNDER GRAD,CYBER SECURITY,5,2,OTHERS,3.84,IMMEDIATELY
Natalie Clarke,sarahdowns@example.com,PHD,FRONTEND,2,1,MALE,3.44,INTERESTED TO JOIN
Robin Hawkins,gshaw@example.net,UNDER GRAD,CLOUD,1,8,MALE,3.2,IMMEDIATELY
Debra Hughes,taylortim@example.org,PHD,APP DEV,5,10,FEMALE,3.22,IMMEDIATELY
Crystal Butler,crystalreynolds@example.com,MASTERS,CLOUD,1,2,MALE,3.92,INTERESTED TO JOIN
Randall Park,watsonjacob@example.com,UNDER GRAD,BACKEND,3,2,OTHERS,3.48,IMMEDIATELY
Brian Murray,ekirby@example.net,PHD,AI/ML,1,9,OTHERS,3.59,IMMEDIATELY
James Pope,ecox@example.net,MASTERS,WEB DEV,6,9,OTHERS,3.96,INTERESTED TO JOIN
Catherine Bonilla,sara45@example.com,MASTERS,BACKEND,0,7,FEMALE,3.21,IMMEDIATELY
Michael Macdonald,william95@example.org,UNDER GRAD,APP DEV,5,0,OTHERS,3.11,IMMEDIATELY
Jerry Vaughan,tsmith@example.net,UNDER GRAD,APP DEV,1,3,FEMALE,3.38,INTERESTED TO JOIN
David Jones DVM,robertsashley@example.org,UNDER GRAD,BACKEND,2,1,MALE,3.35,IMMEDIATELY
Clifford Martinez,krystalhoward@example.net,MASTERS,CLOUD,4,8,OTHERS,3.22,INTERESTED TO JOIN
Aaron Myers,dillon86@example.org,MASTERS,CYBER SECURITY,7,2,FEMALE,3.66,IMMEDIATELY
Michelle Klein,zavalarichard@example.net,PHD,FULLSTACK,5,5,MALE,3.34,INTERESTED TO JOIN
Manuel Mitchell,bsimmons@example.org,PHD,FRONTEND,1,10,MALE,3.77,IMMEDIATELY
Jamie Phillips,harrisonanthony@example.net,MASTERS,CYBER SECURITY,2,4,MALE,3.6,IMMEDIATELY
Christopher Evans,hroth@example.net,UNDER GRAD,AI/ML,6,0,OTHERS,3.67,INTERESTED TO JOIN
Matthew Rodriguez,tina11@example.org,UNDER GRAD,AI/ML,2,4,FEMALE,3.11,IMMEDIATELY
Kenneth Espinoza Jr.,lopeztiffany@example.com,UNDER GRAD,AI/ML,7,3,MALE,3.54,INTERESTED TO JOIN
David Ward,pdurham@example.com,UNDER GRAD,WEB DEV,0,1,FEMALE,3.54,IMMEDIATELY
Kevin Hood,abigail25@example.org,PHD,CLOUD,7,10,MALE,3.94,INTERESTED TO JOIN
Kimberly Dodson,zpalmer@example.net,UNDER GRAD,BACKEND,7,0,MALE,3.19,IMMEDIATELY
Dakota Kennedy,ronald02@example.org,UNDER GRAD,BACKEND,3,2,OTHERS,3.78,INTERESTED TO JOIN
Peter Walsh,qwerner@example.net,PHD,CYBER SECURITY,0,8,OTHERS,3.97,IMMEDIATELY
Joanna Briggs,jessicaarcher@example.org,MASTERS,BACKEND,6,0,MALE,3.71,IMMEDIATELY
Samantha Kelly,vlong@example.com,UNDER GRAD,CYBER SECURITY,7,2,MALE,3.02,IMMEDIATELY
Briana Carlson,zmartin@example.org,PHD,CYBER SECURITY,7,9,FEMALE,3.58,INTERESTED TO JOIN
Samuel Morrison,racheldavis@example.com,MASTERS,CLOUD,7,5,MALE,3.46,IMMEDIATELY
Joshua Contreras,kylebrown@example.net,PHD,CLOUD,2,9,FEMALE,3.23,INTERESTED TO JOIN
Brooke Walker,richardsonnatalie@example.org,MASTERS,CLOUD,7,0,MALE,3.52,IMMEDIATELY
Jason Lin,ywiggins@example.com,UNDER GRAD,APP DEV,0,8,FEMALE,3.11,INTERESTED TO JOIN
Kayla Cardenas,marc40@example.net,UNDER GRAD,BACKEND,1,2,FEMALE,3.56,INTERESTED TO JOIN
Dawn Raymond,chall@example.com,PHD,FULLSTACK,1,7,FEMALE,3.24,IMMEDIATELY
Mary Russell,jodymann@example.com,PHD,FULLSTACK,0,2,OTHERS,3.71,IMMEDIATELY
Nathaniel Bass,hodgedavid@example.com,UNDER GRAD,CYBER SECURITY,6,0,OTHERS,3.27,IMMEDIATELY
Mark Carpenter,vhunt@example.org,MASTERS,CYBER SECURITY,4,8,MALE,3.14,INTERESTED TO JOIN
Christopher Parrish,hgarcia@example.org,MASTERS,CYBER SECURITY,1,10,OTHERS,3.18,INTERESTED TO JOIN
Megan Berry,matthew42@example.org,PHD,CLOUD,3,5,OTHERS,4.0,INTERESTED TO JOIN
Amanda Long,jamie63@example.org,UNDER GRAD,FULLSTACK,4,2,MALE,3.6,INTERESTED TO JOIN
Cheryl Valentine,reidlinda@example.net,PHD,AI/ML,5,7,OTHERS,3.75,IMMEDIATELY
Brooke Bates,gregory85@example.com,PHD,CYBER SECURITY,5,7,OTHERS,3.38,INTERESTED TO JOIN
Jessica Warren,pjones@example.net,MASTERS,CYBER SECURITY,4,7,FEMALE,3.09,IMMEDIATELY
Nathan Rangel,melissaperry@example.com,UNDER GRAD,CYBER SECURITY,7,1,OTHERS,3.05,IMMEDIATELY
John Lynch,monicaspencer@example.com,MASTERS,APP DEV,2,1,FEMALE,3.48,INTERESTED TO JOIN
Brianna Gordon,jacobwise@example.org,PHD,AI/ML,0,6,MALE,3.0,INTERESTED TO JOIN
Sara Robinson,ashleycarter@example.net,PHD,APP DEV,1,1,OTHERS,3.42,IMMEDIATELY
Christy Farrell,adammarshall@example.org,UNDER GRAD,FRONTEND,7,3,OTHERS,3.91,INTERESTED TO JOIN
Nicholas Jimenez,mparker@example.com,PHD,AI/ML,2,2,FEMALE,3.46,INTERESTED TO JOIN
Sarah Pope,terricampbell@example.com,MASTERS,AI/ML,0,2,FEMALE,3.84,IMMEDIATELY
Fernando Cook,diana29@example.com,PHD,BACKEND,4,3,FEMALE,3.79,INTERESTED TO JOIN
Anthony Espinoza,martin97@example.com,UNDER GRAD,CLOUD,0,8,MALE,3.29,IMMEDIATELY
Julian Rowland,michelleeaton@example.org,UNDER GRAD,APP DEV,3,10,MALE,3.33,INTERESTED TO JOIN
Kelly Rivera,campbelllisa@example.org,PHD,CLOUD,3,0,OTHERS,3.38,INTERESTED TO JOIN
Austin Dunn,owebb@example.net,PHD,CYBER SECURITY,4,3,FEMALE,3.41,INTERESTED TO JOIN
Heather Bruce,mschneider@example.com,PHD,WEB DEV,1,2,FEMALE,3.41,INTERESTED TO JOIN
Jeremy Yang,morganmcbride@example.com,MASTERS,CYBER SECURITY,2,8,OTHERS,3.31,IMMEDIATELY
Deanna Howard,hernandezandrew@example.net,MASTERS,APP DEV,4,9,FEMALE,3.13,INTERESTED TO JOIN
Andrea Ross,xarmstrong@example.net,PHD,APP DEV,2,6,OTHERS,3.8,INTERESTED TO JOIN
Brenda Turner,davidmeyers@example.com,MASTERS,BACKEND,0,5,MALE,3.52,INTERESTED TO JOIN
Shelley Stevenson,taylor84@example.com,MASTERS,WEB DEV,0,4,MALE,3.81,INTERESTED TO JOIN
Barbara Garcia,parkernathan@example.com,UNDER GRAD,BACKEND,3,3,OTHERS,3.98,INTERESTED TO JOIN
Cynthia Roberts,rebecca85@example.com,PHD,CLOUD,2,1,MALE,3.95,IMMEDIATELY
Brian Meyer,xbrooks@example.com,PHD,BACKEND,0,1,MALE,3.98,IMMEDIATELY
Susan Estrada,daniel16@example.com,PHD,CYBER SECURITY,7,3,OTHERS,3.53,INTERESTED TO JOIN
Logan Miller,desiree39@example.com,UNDER GRAD,FRONTEND,0,6,MALE,3.05,IMMEDIATELY
Misty Brown,usanchez@example.org,MASTERS,FULLSTACK,0,0,FEMALE,3.59,IMMEDIATELY
Tommy Lee,matthew64@example.org,MASTERS,WEB DEV,6,6,MALE,3.63,IMMEDIATELY
Joel Sutton,fisheryolanda@example.net,PHD,FRONTEND,3,2,MALE,3.25,IMMEDIATELY
John Adams,cwagner@example.com,MASTERS,CYBER SECURITY,1,4,MALE,3.47,IMMEDIATELY
Adam Dalton,tranlaura@example.net,MASTERS,CYBER SECURITY,1,7,OTHERS,3.44,IMMEDIATELY
Carl Peterson,tjohnson@example.org,PHD,FULLSTACK,6,3,MALE,3.91,IMMEDIATELY
Samantha Allen,thomashall@example.com,MASTERS,APP DEV,5,8,MALE,3.54,IMMEDIATELY
Jordan Evans,vaughansusan@example.org,UNDER GRAD,FRONTEND,3,1,OTHERS,3.03,INTERESTED TO JOIN
Mr. Brent Norton,rjohnson@example.net,PHD,BACKEND,0,1,FEMALE,3.95,INTERESTED TO JOIN
Barbara Davis,peter66@example.org,UNDER GRAD,FRONTEND,7,4,MALE,3.86,INTERESTED TO JOIN
James Robinson,garciamarcus@example.com,MASTERS,CYBER SECURITY,4,4,FEMALE,3.22,IMMEDIATELY
Andrew Williams,melissaharris@example.net,UNDER GRAD,CLOUD,5,8,MALE,3.33,IMMEDIATELY
Yvonne Brown,chelsea63@example.com,PHD,FULLSTACK,4,1,FEMALE,3.4,IMMEDIATELY
Matthew Lee,kevin81@example.com,PHD,WEB DEV,0,1,FEMALE,3.23,INTERESTED TO JOIN
Vincent Hampton,kmartin@example.com,UNDER GRAD,AI/ML,0,1,OTHERS,3.55,IMMEDIATELY
Tracy King,ugrimes@example.org,PHD,APP DEV,7,6,MALE,3.83,IMMEDIATELY
Heather Burgess,eric44@example.net,UNDER GRAD,CYBER SECURITY,1,9,OTHERS,3.5,INTERESTED TO JOIN
Lori Rangel,kwatts@example.org,MASTERS,APP DEV,1,6,FEMALE,3.21,INTERESTED TO JOIN
Scott Miller,shelbymorgan@example.com,PHD,FRONTEND,2,7,OTHERS,3.07,INTERESTED TO JOIN
Stephen Bonilla,gibsonkatie@example.com,MASTERS,BACKEND,6,5,MALE,3.2,INTERESTED TO JOIN
Carly Burnett,sydneybray@example.net,UNDER GRAD,CLOUD,5,8,FEMALE,3.37,IMMEDIATELY
Keith Jensen,ocastillo@example.net,PHD,BACKEND,5,7,FEMALE,3.82,IMMEDIATELY
Lisa Horton,conradnathaniel@example.com,UNDER GRAD,AI/ML,0,9,OTHERS,3.61,IMMEDIATELY
Lindsey Nelson,wilsondeanna@example.com,UNDER GRAD,WEB DEV,7,3,MALE,3.02,IMMEDIATELY
Glenn Christensen,morrowjamie@example.org,PHD,APP DEV,2,2,OTHERS,3.18,IMMEDIATELY
Jonathon Schmidt,kathy18@example.org,MASTERS,FULLSTACK,3,2,FEMALE,3.25,INTERESTED TO JOIN
Sarah Wolf,unguyen@example.com,UNDER GRAD,BACKEND,7,1,FEMALE,3.15,INTERESTED TO JOIN
Tonya Buck,ambermartinez@example.com,PHD,AI/ML,4,3,MALE,3.53,IMMEDIATELY
Samantha Garcia,donald78@example.net,MASTERS,APP DEV,0,7,FEMALE,3.67,IMMEDIATELY
Paul Moreno,jamieyoung@example.com,PHD,BACKEND,6,10,OTHERS,3.01,IMMEDIATELY
Samantha Estes,kemppaul@example.com,UNDER GRAD,FRONTEND,5,5,MALE,3.49,INTERESTED TO JOIN
Ryan Flores,jenkinspaul@example.com,UNDER GRAD,WEB DEV,2,3,MALE,3.62,IMMEDIATELY
Sara Kaufman,cvargas@example.net,UNDER GRAD,BACKEND,4,5,FEMALE,3.4,IMMEDIATELY
Richard Stone,lisasingh@example.com,PHD,BACKEND,1,7,OTHERS,3.08,IMMEDIATELY
William Carpenter II,jeremy63@example.com,PHD,FRONTEND,4,1,OTHERS,3.1,INTERESTED TO JOIN
Ms. Courtney Johns,hickskatherine@example.com,MASTERS,CLOUD,6,2,MALE,3.09,INTERESTED TO JOIN
Jerry Hopkins,blackburnlisa@example.com,PHD,FULLSTACK,7,1,OTHERS,3.84,INTERESTED TO JOIN
Robin Fisher,probinson@example.net,UNDER GRAD,FRONTEND,2,2,MALE,3.06,IMMEDIATELY
Shane Morgan,ilarson@example.org,PHD,FRONTEND,7,6,FEMALE,3.06,INTERESTED TO JOIN
Brian Duarte,zacharymalone@example.org,MASTERS,CYBER SECURITY,6,1,OTHERS,3.83,IMMEDIATELY
Robert Malone,nathan59@example.net,UNDER GRAD,CYBER SECURITY,4,10,OTHERS,3.15,IMMEDIATELY
Timothy Bell,jackdiaz@example.com,PHD,BACKEND,0,3,OTHERS,3.2,IMMEDIATELY
Roberto Branch,frederick34@example.org,UNDER GRAD,CYBER SECURITY,1,0,MALE,3.02,IMMEDIATELY
Richard Smith,zgaines@example.com,UNDER GRAD,CYBER SECURITY,3,7,OTHERS,3.45,IMMEDIATELY
Joseph Golden,jaredherman@example.net,MASTERS,BACKEND,3,9,OTHERS,3.87,INTERESTED TO JOIN
David Chaney,chad80@example.net,MASTERS,FRONTEND,5,1,FEMALE,3.65,INTERESTED TO JOIN
Joseph Rivera,anna42@example.net,MASTERS,AI/ML,4,1,FEMALE,3.93,INTERESTED TO JOIN
Gregory Kline,linda32@example.org,UNDER GRAD,FRONTEND,6,8,OTHERS,3.82,IMMEDIATELY
Diana Crane,michaelharding@example.com,PHD,CLOUD,6,5,OTHERS,3.55,INTERESTED TO JOIN
Patricia Richardson,grichardson@example.org,PHD,APP DEV,6,0,MALE,3.35,IMMEDIATELY
Ashley Estes,christopher27@example.com,PHD,APP DEV,5,8,FEMALE,3.95,INTERESTED TO JOIN
Zachary Thomas,sara15@example.net,UNDER GRAD,AI/ML,6,0,FEMALE,3.67,INTERESTED TO JOIN
Maria Lane,eduardo07@example.org,UNDER GRAD,CLOUD,0,0,MALE,3.29,IMMEDIATELY
Dennis King,walkeralexandra@example.com,MASTERS,FRONTEND,3,0,OTHERS,3.12,IMMEDIATELY
Sharon Ford,janet81@example.org,MASTERS,WEB DEV,3,2,FEMALE,3.22,IMMEDIATELY
Jessica Martinez DDS,sosadale@example.com,MASTERS,CYBER SECURITY,5,9,FEMALE,3.97,IMMEDIATELY
Jamie Ramos,steven78@example.com,PHD,APP DEV,5,5,OTHERS,3.59,INTERESTED TO JOIN
Natalie Villa,jthomas@example.com,MASTERS,CLOUD,0,8,OTHERS,3.38,IMMEDIATELY
Wendy Payne,lchambers@example.net,MASTERS,FRONTEND,1,5,OTHERS,3.12,INTERESTED TO JOIN
Olivia Williams,barias@example.com,MASTERS,WEB DEV,5,7,OTHERS,3.1,INTERESTED TO JOIN
Daniel Lopez,laura59@example.net,MASTERS,AI/ML,0,7,MALE,4.0,INTERESTED TO JOIN
Lynn Hudson,nancy24@example.com,PHD,APP DEV,2,6,FEMALE,3.33,INTERESTED TO JOIN
Susan Gilbert,popecrystal@example.com,MASTERS,WEB DEV,6,7,OTHERS,3.6,IMMEDIATELY
Albert Taylor,kimberlywalker@example.org,UNDER GRAD,CYBER SECURITY,6,4,OTHERS,3.19,IMMEDIATELY
John Livingston,robert10@example.org,UNDER GRAD,AI/ML,4,5,OTHERS,3.41,IMMEDIATELY
Elaine Morrison,lawrenceadam@example.com,MASTERS,AI/ML,5,6,MALE,3.72,INTERESTED TO JOIN
Susan Russell,nicholaszhang@example.net,UNDER GRAD,AI/ML,1,7,FEMALE,3.18,IMMEDIATELY
Vanessa Gibson,kcruz@example.net,MASTERS,APP DEV,2,4,OTHERS,3.72,INTERESTED TO JOIN
Tracy Brown,alyssa73@example.org,MASTERS,CLOUD,5,6,MALE,3.1,INTERESTED TO JOIN
Jessica Smith DVM,ericamiller@example.net,PHD,AI/ML,4,9,FEMALE,3.36,INTERESTED TO JOIN
Shannon Elliott,lsmith@example.net,UNDER GRAD,CYBER SECURITY,4,8,MALE,3.13,IMMEDIATELY
Phillip Henderson,andrea42@example.com,MASTERS,CLOUD,6,7,OTHERS,3.25,IMMEDIATELY
Kimberly Yates,kyle55@example.org,PHD,CYBER SECURITY,4,6,FEMALE,3.66,INTERESTED TO JOIN
Courtney Knight,angela70@example.org,MASTERS,CYBER SECURITY,3,8,OTHERS,3.34,IMMEDIATELY
Holly Walker,qfuller@example.org,PHD,CYBER SECURITY,6,2,OTHERS,3.73,INTERESTED TO JOIN
Rachel Leonard,robert06@example.com,MASTERS,WEB DEV,6,10,MALE,3.15,IMMEDIATELY
Dillon Ross,parkjulie@example.com,UNDER GRAD,AI/ML,6,6,OTHERS,3.19,INTERESTED TO JOIN
Jesse Martinez,cynthiathomas@example.net,PHD,BACKEND,6,6,FEMALE,3.65,IMMEDIATELY
Michael Bird,mjackson@example.net,MASTERS,FRONTEND,2,1,FEMALE,3.72,IMMEDIATELY
Jennifer Osborne,valerie47@example.com,PHD,APP DEV,7,1,MALE,3.21,IMMEDIATELY
Jasmine Kelley,erica24@example.org,PHD,APP DEV,3,6,FEMALE,3.01,INTERESTED TO JOIN
Christina Stanley,chelseasanchez@example.net,MASTERS,CLOUD,5,2,FEMALE,3.36,IMMEDIATELY
Lindsey Sandoval,murphyteresa@example.net,PHD,WEB DEV,0,2,FEMALE,3.28,INTERESTED TO JOIN
Joanna Webster DVM,martinleonard@example.com,MASTERS,BACKEND,2,3,FEMALE,3.34,IMMEDIATELY
John Sims,victoriataylor@example.net,UNDER GRAD,CYBER SECURITY,2,9,MALE,4.0,INTERESTED TO JOIN
Gary Arnold,shane63@example.net,UNDER GRAD,CYBER SECURITY,1,8,FEMALE,3.22,IMMEDIATELY
Gabriel Lee,williamscarlos@example.com,PHD,FRONTEND,7,1,FEMALE,3.97,IMMEDIATELY
Cheryl Lawrence,simonstacy@example.org,PHD,BACKEND,1,8,MALE,3.49,IMMEDIATELY
Scott David,joyceparker@example.net,PHD,CLOUD,2,7,FEMALE,3.27,INTERESTED TO JOIN
Julia Mckinney,ralphrodriguez@example.org,MASTERS,APP DEV,6,2,OTHERS,3.21,IMMEDIATELY
Amanda Cunningham,ramospamela@example.net,MASTERS,CYBER SECURITY,7,6,FEMALE,3.96,INTERESTED TO JOIN
Jennifer Brooks,nancy95@example.com,MASTERS,FULLSTACK,4,7,MALE,3.22,INTERESTED TO JOIN
Terry Walker,david32@example.org,UNDER GRAD,AI/ML,0,6,MALE,3.5,INTERESTED TO JOIN
Michael Wilkinson,rnavarro@example.org,UNDER GRAD,BACKEND,4,4,MALE,3.88,IMMEDIATELY
Jill Harrison,wolfeanthony@example.com,PHD,FULLSTACK,0,3,FEMALE,3.61,INTERESTED TO JOIN
Robert Clark,gwilliams@example.com,UNDER GRAD,CLOUD,2,5,OTHERS,3.18,IMMEDIATELY
Garrett Evans,fbrown@example.org,MASTERS,FRONTEND,5,0,FEMALE,3.52,INTERESTED TO JOIN
Jennifer Gibson,cscott@example.net,UNDER GRAD,APP DEV,1,9,MALE,3.86,IMMEDIATELY
Christopher Blackburn,pinedatyler@example.org,UNDER GRAD,APP DEV,7,1,FEMALE,3.7,IMMEDIATELY
Morgan Hull,rsanchez@example.org,MASTERS,FULLSTACK,3,3,FEMALE,3.24,INTERESTED TO JOIN
Brian Brooks,danielestrada@example.org,PHD,FULLSTACK,2,8,OTHERS,3.11,IMMEDIATELY
Ryan Hurley,taylordavid@example.org,UNDER GRAD,AI/ML,5,3,OTHERS,3.76,IMMEDIATELY
Daniel Johnson,qgreen@example.net,UNDER GRAD,WEB DEV,2,6,OTHERS,3.13,IMMEDIATELY
Olivia Peterson,amyramirez@example.net,UNDER GRAD,AI/ML,3,2,FEMALE,3.71,IMMEDIATELY
Daniel Perez,ncarter@example.com,MASTERS,FRONTEND,3,2,FEMALE,3.8,IMMEDIATELY
Mr. Zachary Dunn,john79@example.org,PHD,FRONTEND,5,0,FEMALE,3.02,IMMEDIATELY
Andrew Krause,joneswilliam@example.net,PHD,APP DEV,4,4,OTHERS,3.07,IMMEDIATELY
Jocelyn Kelly,rachel43@example.net,PHD,CYBER SECURITY,2,7,MALE,3.37,INTERESTED TO JOIN
Ruth Richardson,adamwilson@example.net,MASTERS,FRONTEND,4,5,FEMALE,3.94,IMMEDIATELY
Andrew Mack,stevenunderwood@example.com,UNDER GRAD,BACKEND,7,3,OTHERS,3.68,INTERESTED TO JOIN
